user_id,hash,x-coordinate,y-coordinate,date_time,distance,category
10101,1235687921,22.559837,88.490211,2024-09-09 02:20:56,6.37,check-in
10101,1235687921,22.559834,88.490213,2024-09-09 02:20:56,16.66,confirmation
10101,1235687921,22.559836,88.490214,2024-09-09 02:20:56,16.10,check-in
10101,1235687921,22.559835,88.490215,2024-09-09 02:20:56,22.40,confirmation
10101,1235687921,22.559838,88.490216,2024-09-09 02:20:56,29.71,check-in
10101,1235687921,22.559833,88.490217,2024-09-09 02:20:56,37.45,confirmation
10101,1235687921,22.559836,88.490218,2024-09-09 02:20:56,37.58,check-in
10101,1235687921,22.559835,88.490219,2024-09-09 02:20:56,43.42,confirmation
10101,1235687921,22.559837,88.49022,2024-09-09 02:20:56,48.73,check-in
10101,1235687921,22.69983,88.374535,2024-09-09 02:20:56,8.00,confirmation
10101,1235687921,22.699832,88.374534,2024-09-09 02:20:56,6.37,check-in
10101,1235687921,22.699831,88.374536,2024-09-09 02:20:56,9.67,confirmation
10101,1235687921,22.699829,88.374537,2024-09-09 02:20:56,19.31,check-in
10101,1235687921,22.699833,88.374538,2024-09-09 02:20:56,23.17,confirmation
10101,1235687921,22.699828,88.374539,2024-09-09 02:20:56,30.83,check-in
10101,1235687921,22.699831,88.37454,2024-09-09 02:20:56,29.02,confirmation
10101,1235687921,22.69983,88.374541,2024-09-09 02:20:56,34.45,check-in
10101,1235687921,22.589606,88.390644,2024-09-09 02:20:56,8.26,confirmation
10101,1235687921,22.589608,88.390643,2024-09-09 02:20:56,6.37,check-in
10101,1235687921,22.589607,88.390645,2024-09-09 02:20:56,10.53,confirmation
10101,1235687921,22.589605,88.390646,2024-09-09 02:20:56,20.29,check-in
10101,1235687921,22.589609,88.390647,2024-09-09 02:20:56,24.61,confirmation
10101,1235687921,22.559837,88.490211,2024-09-09 02:20:56,6.37,check-in
10101,1235687921,22.559834,88.490213,2024-09-09 02:20:56,16.66,confirmation
10101,1235687921,22.559836,88.490214,2024-09-09 02:20:56,16.10,check-in
10101,1235687921,22.559835,88.490215,2024-09-09 02:20:56,22.40,confirmation
10101,1235687921,22.69983,88.374535,2024-09-09 02:20:56,8.00,check-in
10101,1235687921,22.699832,88.374534,2024-09-09 02:20:56,6.37,confirmation
10101,1235687921,22.699831,88.374536,2024-09-09 02:20:56,9.67,check-in
10101,1235687921,22.699829,88.374537,2024-09-09 02:20:56,19.31,confirmation
10101,1235687921,22.699833,88.374538,2024-09-09 02:20:56,23.17,check-in
10101,1235687921,22.589606,88.390644,2024-09-09 02:20:56,8.26,confirmation
10101,1235687921,22.589608,88.390643,2024-09-09 02:20:57,6.37,check-in
10101,1235687921,22.589607,88.390645,2024-09-09 02:20:57,10.53,confirmation
10101,1235687921,22.589605,88.390646,2024-09-09 02:20:57,20.29,check-in
10101,1235687921,22.589609,88.390647,2024-09-09 02:20:57,24.61,confirmation
10101,1235687921,22.559837,88.490211,2024-09-09 02:20:57,6.37,check-in
10101,1235687921,22.559834,88.490213,2024-09-09 02:20:57,16.66,confirmation
10101,1235687921,22.559836,88.490214,2024-09-09 02:20:57,16.10,check-in
